name,place_id,price_level,rating,user_ratings_total,meal_delivery,meal_takeaway,restaurant,bar,cafe,id,user,is_elite,rank,text,stars,value_date,unit_date,days_ago,covid_month,is_covid
Sciuscià Milano,ChIJBTasMz7BhkcRDmqooZSM8jk,2.0,4.3,697,True,True,True,False,False,ChdDSUhNMG9nS0VJQ0FnSUR5dXNHSi13RRAB,Fabio Barbieri,0,10,,4,a,day,1,11,True
Sciuscià Milano,ChIJBTasMz7BhkcRDmqooZSM8jk,2.0,4.3,697,True,True,True,False,False,ChdDSUhNMG9nS0VJQ0FnSUR5OHB5NXlBRRAB,Maria Irmici,1,2,"(Translated by Google) I've been there with friends, the food is really good! A dok! Exquisite fish! I adore (Original) Ci sono stata con amici, si mangia davvero bene! A dok! Pesce squisito! Adoro",5,3,days,3,11,True
Sciuscià Milano,ChIJBTasMz7BhkcRDmqooZSM8jk,2.0,4.3,697,True,True,True,False,False,ChZDSUhNMG9nS0VJQ0FnSUR5NHYya0h3EAE,carmelo marchisano,0,5,,5,4,days,4,11,True
Sciuscià Milano,ChIJBTasMz7BhkcRDmqooZSM8jk,2.0,4.3,697,True,True,True,False,False,ChdDSUhNMG9nS0VJQ0FnSUR5ak9Qd3h3RRAB,Samuel Agib,0,0,,4,a,week,7,11,True
Sciuscià Milano,ChIJBTasMz7BhkcRDmqooZSM8jk,2.0,4.3,697,True,True,True,False,False,ChZDSUhNMG9nS0VJQ0FnSUR5akpiV1pnEAE,Aaryn Ankors,0,30,(Translated by Google) Very kind and helpful! Great! (Original) Gentilissimi e disponibili! Ottimo!,5,a,week,7,11,True
Sciuscià Milano,ChIJBTasMz7BhkcRDmqooZSM8jk,2.0,4.3,697,True,True,True,False,False,ChZDSUhNMG9nS0VJQ0FnSUR5eElPMVl3EAE,Marco Gianotti,1,26,(Translated by Google) well attended ordinary food (Original) ben frequentato cibi ordinaruo,3,a,week,7,11,True
Sciuscià Milano,ChIJBTasMz7BhkcRDmqooZSM8jk,2.0,4.3,697,True,True,True,False,False,ChZDSUhNMG9nS0VJQ0FnSUR5cU1qWEN3EAE,lorenzo pagani,0,54,"(Translated by Google) One word QUALITY without frills or unnecessary decorations, here you can eat well. Finally a place where mussels are served to perfection, triple chocolate bomb. We will definitely be back. (Original) Una sola parola …",5,a,week,7,11,True
Sciuscià Milano,ChIJBTasMz7BhkcRDmqooZSM8jk,2.0,4.3,697,True,True,True,False,False,ChZDSUhNMG9nS0VJQ0FnSUR5eUtPeE93EAE,Antony,0,78,"(Translated by Google) Great coffee, good pastry and ... everything you expect from a Neapolitan place (Original) Ottimo caffè,buona pasticceria e...tutto quello che ti aspetti da un locale partenopeo",4,a,week,7,11,True
Sciuscià Milano,ChIJBTasMz7BhkcRDmqooZSM8jk,2.0,4.3,697,True,True,True,False,False,ChdDSUhNMG9nS0VJQ0FnSUR5eUluMm93RRAB,Filippo Sollami,1,29,(Translated by Google) Nice place! I took all good export lunches! I got confused in giving me the packages and I had to go back! (Original) Luogo bello! Ho preso dei pranzi da esporto tutto buono! Anno fatto confusione nel darmi i pacchetti e sono dovuto tornare in dietro!,4,a,week,7,11,True
Sciuscià Milano,ChIJBTasMz7BhkcRDmqooZSM8jk,2.0,4.3,697,True,True,True,False,False,ChdDSUhNMG9nS0VJQ0FnSURNZ00zRnNBRRAB,Cristian Fontana,0,3,,4,a,week,7,11,True
Sciuscià Milano,ChIJBTasMz7BhkcRDmqooZSM8jk,2.0,4.3,697,True,True,True,False,False,ChZDSUhNMG9nS0VJQ0FnSUR5b083UkhBEAE,G. Carminati,0,48,"(Translated by Google) Real flavors, tasty and with kind staff. (Original) Sapori veri, gustosi e con personale gentile.",5,a,week,7,11,True
Sciuscià Milano,ChIJBTasMz7BhkcRDmqooZSM8jk,2.0,4.3,697,True,True,True,False,False,ChZDSUhNMG9nS0VJQ0FnSUN5dTRfeE1nEAE,adriana mariella herrera chang,1,25,,4,2,weeks,14,11,True
Sciuscià Milano,ChIJBTasMz7BhkcRDmqooZSM8jk,2.0,4.3,697,True,True,True,False,False,ChZDSUhNMG9nS0VJQ0FnSUN5Ni1TTlBnEAE,Claudio Mazza,0,42,(Translated by Google) Excellent pizza like in Naples. Friendly and helpful staff. Drop by and get a year-round subscription. (Original) Pizza eccellente come a Napoli. Personale gentile e disponibile. Fateci un salto e farete l'abbonamento per tutto l'anno.,5,2,weeks,14,11,True
Sciuscià Milano,ChIJBTasMz7BhkcRDmqooZSM8jk,2.0,4.3,697,True,True,True,False,False,ChdDSUhNMG9nS0VJQ0FnSUN5bGZyNm1nRRAB,Ruben Sbriglione,1,5,,5,3,weeks,21,11,True
Sciuscià Milano,ChIJBTasMz7BhkcRDmqooZSM8jk,2.0,4.3,697,True,True,True,False,False,ChZDSUhNMG9nS0VJQ0FnSUN5dVlhc2NREAE,Giuseppe Nonnato,1,4,,4,a,month,30,10,True
Sciuscià Milano,ChIJBTasMz7BhkcRDmqooZSM8jk,2.0,4.3,697,True,True,True,False,False,ChZDSUhNMG9nS0VJQ0FnSUN5OGNHekNREAE,E D,0,0,,4,a,month,30,10,True
Sciuscià Milano,ChIJBTasMz7BhkcRDmqooZSM8jk,2.0,4.3,697,True,True,True,False,False,ChdDSUhNMG9nS0VJQ0FnSUN5a1lxMWh3RRAB,valeria grippa,0,94,,1,a,month,30,10,True
Sciuscià Milano,ChIJBTasMz7BhkcRDmqooZSM8jk,2.0,4.3,697,True,True,True,False,False,ChdDSUhNMG9nS0VJQ0FnSUN5cUxTTC1nRRAB,Filippo Cinnirella,1,5,"(Translated by Google) Great! pastry, quality, friendliness and availability. (Original) Ottima! pasticceria, qualità, cordialità e disponibilità.",5,a,month,30,10,True
Sciuscià Milano,ChIJBTasMz7BhkcRDmqooZSM8jk,2.0,4.3,697,True,True,True,False,False,ChZDSUhNMG9nS0VJQ0FnSUN5c01IVUdnEAE,Vincenzo Finizola,0,66,"(Translated by Google) Excellent croissants, honestly I was expecting a Neapolitan croissant and instead it was more a French croissant, and I must say it was very good! The coffee is also excellent (Original) Ottimi cornetti , onestamente …",5,a,month,30,10,True
Sciuscià Milano,ChIJBTasMz7BhkcRDmqooZSM8jk,2.0,4.3,697,True,True,True,False,False,ChZDSUhNMG9nS0VJQ0FnSURTN3VxZkhREAE,elena ambrogi,0,22,,4,2,months,60,9,True
