place_name,place_id,price_level,avg_stars,place_popularity,meal_delivery,meal_takeaway,restaurant,bar,cafe,delivery_takeaway,bar_cafe,id,user_name,stars,value_date,unit_date,days_ago,text,user_popularity,is_player,month_past_covid,is_covid,covid_magnitude
gelateria creativa Wally GRAMSCI,ChIJCcH4VT7BhkcR-mooDqNa2a0,,4.4,2,True,False,False,False,False,True,False,ChdDSUhNMG9nS0VJQ0FnSUNpZ3N6R3RRRRAB,valerio barbirato,4,4,months,120,,1,1,7,1,1
gelateria creativa Wally GRAMSCI,ChIJCcH4VT7BhkcR-mooDqNa2a0,,4.4,2,True,False,False,False,False,True,False,ChZDSUhNMG9nS0VJQ0FnSUNpME96U1J3EAE,Diego Travaini,3,4,months,120,,2,0,7,1,1
gelateria creativa Wally GRAMSCI,ChIJCcH4VT7BhkcR-mooDqNa2a0,,4.4,2,True,False,False,False,False,True,False,ChdDSUhNMG9nS0VJQ0FnSURDbmJQOHd3RRAB,Aracelly 26,4,4,months,120,"(Translated by Google) The ice creams are really yummy 👍🏻😋 the staff is very nice. If I find myself nearby, I will certainly return 😉 (Original) I gelati sono davvero buonissimi 👍🏻😋 lo staff è molto gentile. Se mi trovo nei paraggi di sicuro ci ritorno 😉",2,0,7,1,1
gelateria creativa Wally GRAMSCI,ChIJCcH4VT7BhkcR-mooDqNa2a0,,4.4,2,True,False,False,False,False,True,False,ChZDSUhNMG9nS0VJQ0FnSURDanVxcUJnEAE,Yo Jc,4,5,months,150,(Translated by Google) Good😃 (Original) Buono😃,3,0,6,1,1
gelateria creativa Wally GRAMSCI,ChIJCcH4VT7BhkcR-mooDqNa2a0,,4.4,2,True,False,False,False,False,True,False,ChZDSUhNMG9nS0VJQ0FnSUNDejh6WVVnEAE,Giuliana Greco,3,5,months,150,(Translated by Google) I would give a just enough lack of table service and it is particularly disorganized you don't know where to throw the paper napkins and the cardboard cup that contains the ice cream .... I would not return …,2,1,6,1,1
gelateria creativa Wally GRAMSCI,ChIJCcH4VT7BhkcR-mooDqNa2a0,,4.4,2,True,False,False,False,False,True,False,ChZDSUhNMG9nS0VJQ0FnSUNDdWVuOVpREAE,Donatella Miscioscia,5,6,months,180,(Translated by Google) Excellent products and great service (Original) Ottimi prodotti e ottimo servizio,2,0,5,1,1
gelateria creativa Wally GRAMSCI,ChIJCcH4VT7BhkcR-mooDqNa2a0,,4.4,2,True,False,False,False,False,True,False,ChZDSUhNMG9nS0VJQ0FnSUNDZ1lIQ2NBEAE,Claudia Belli,5,6,months,180,,1,0,5,1,1
gelateria creativa Wally GRAMSCI,ChIJCcH4VT7BhkcR-mooDqNa2a0,,4.4,2,True,False,False,False,False,True,False,ChdDSUhNMG9nS0VJQ0FnSUQ4ODR6aDhBRRAB,Riccardo Volta,5,7,months,210,(Translated by Google) Top peanut butter ice cream (Original) Gelato al burro d'arachidi top,2,0,4,1,1
gelateria creativa Wally GRAMSCI,ChIJCcH4VT7BhkcR-mooDqNa2a0,,4.4,2,True,False,False,False,False,True,False,ChdDSUhNMG9nS0VJQ0FnSUQ4M1pfQnN3RRAB,Bernardo Meloni,5,7,months,210,(Translated by Google) Great. Nothing to complain. I got chocolate and fig flavors. achievements (Original) Ottimo. Nulla da eccepire. Presi gusti cioccolato e fico. Compimenti,3,0,4,1,1
gelateria creativa Wally GRAMSCI,ChIJCcH4VT7BhkcR-mooDqNa2a0,,4.4,2,True,False,False,False,False,True,False,ChZDSUhNMG9nS0VJQ0FnSUM4bXZHYmN3EAE,Defe,4,8,months,240,,3,0,3,1,1
gelateria creativa Wally GRAMSCI,ChIJCcH4VT7BhkcR-mooDqNa2a0,,4.4,2,True,False,False,False,False,True,False,ChdDSUhNMG9nS0VJQ0FnSUM4Z3MzaF9RRRAB,Daria Mori,5,8,months,240,,2,1,3,1,1
gelateria creativa Wally GRAMSCI,ChIJCcH4VT7BhkcR-mooDqNa2a0,,4.4,2,True,False,False,False,False,True,False,ChZDSUhNMG9nS0VJQ0FnSUM4M051WlZREAE,sonia cerato,5,8,months,240,,2,1,3,1,1
gelateria creativa Wally GRAMSCI,ChIJCcH4VT7BhkcR-mooDqNa2a0,,4.4,2,True,False,False,False,False,True,False,ChdDSUhNMG9nS0VJQ0FnSURjLUx6RHlnRRAB,Giuseppe Origo,4,9,months,270,"(Translated by Google) Excellent, good assortment of flavors, relaxing location (Original) Ottimo, buon assortimento di gusti, location rilassante",3,0,2,1,1
gelateria creativa Wally GRAMSCI,ChIJCcH4VT7BhkcR-mooDqNa2a0,,4.4,2,True,False,False,False,False,True,False,ChZDSUhNMG9nS0VJQ0FnSUNjeDZEeU1nEAE,Domenico Porpiglia,4,10,months,300,(Translated by Google) Good ice cream (Original) Buono il gelato,3,0,1,1,2
